Loaded Arguments:
config_file             : config.ini
experiment              : pcam_bnn_1
task                    : bnn
seed                    : 1111
verbose                 : True
log_dir                 : Logs
log_interval            : 10
tensorboard_dir         : Tensorboard
dataset                 : pcam
dataset_dir             : ../../Datasets/pcam
val_split               : 0.2
test_split              : 0.2
image_x                 : 96
image_y                 : 96
square_image            : True
augmentation            : True
data_workers            : 4
use_gpu                 : True
precision               : 16
efficient_net           : 7
model_dir               : Models
epochs                  : 20
batch_size              : 64
minimum_lr              : 1e-05
maximum_lr              : 0.1
label_smoothing         : 0.0
focal_loss              : False
focal_alpha             : 0.25
focal_gamma             : 2.0
training_samples        : 10
batches_per_epoch       : 0


Set Random Seed to 1111
Device set to cuda:0

Loader Datasets

Model Initialised
Time: 001302s	Train Epoch: 01 [052480/235930] (22%)	Loss: 337.569902	Cross Entropy: 0.3678	ELBO: 337.2021	Accuracy: 0.846494
Time: 001318s	Train Epoch: 01 [053120/235930] (23%)	Loss: 333.505534	Cross Entropy: 0.3661	ELBO: 333.1394	Accuracy: 0.847270
Time: 001334s	Train Epoch: 01 [053760/235930] (23%)	Loss: 329.538005	Cross Entropy: 0.3645	ELBO: 329.1735	Accuracy: 0.848121
Time: 001350s	Train Epoch: 01 [054400/235930] (23%)	Loss: 325.663654	Cross Entropy: 0.3628	ELBO: 325.3009	Accuracy: 0.848860
Time: 001365s	Train Epoch: 01 [055040/235930] (23%)	Loss: 321.878991	Cross Entropy: 0.3607	ELBO: 321.5183	Accuracy: 0.849945
Time: 001381s	Train Epoch: 01 [055680/235930] (24%)	Loss: 318.181727	Cross Entropy: 0.3590	ELBO: 317.8227	Accuracy: 0.850665
Time: 001397s	Train Epoch: 01 [056320/235930] (24%)	Loss: 314.568562	Cross Entropy: 0.3575	ELBO: 314.2111	Accuracy: 0.851385
Time: 001413s	Train Epoch: 01 [056960/235930] (24%)	Loss: 311.036481	Cross Entropy: 0.3559	ELBO: 310.6806	Accuracy: 0.852089
Time: 001429s	Train Epoch: 01 [057600/235930] (24%)	Loss: 307.582880	Cross Entropy: 0.3543	ELBO: 307.2286	Accuracy: 0.852882
Time: 001445s	Train Epoch: 01 [058240/235930] (25%)	Loss: 304.205192	Cross Entropy: 0.3527	ELBO: 303.8525	Accuracy: 0.853606
